Median_household_income_dollars,Percent_individual_below_povery_level,k,o,r
3.524600000000000000e+04,2.019600747000000140e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.293700000000000000e+04,2.008206142999999955e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.575800000000000000e+04,9.898576419999999487e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.653200000000000000e+04,2.131696429000000137e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.343100000000000000e+04,2.648540165000000002e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.182000000000000000e+04,1.367396824000000066e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.611600000000000000e+04,5.853878193999999979e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.734000000000000000e+04,1.497595302999999944e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.200100000000000000e+04,5.597159180000000234e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.365800000000000000e+04,2.304544496000000109e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.499600000000000000e+04,1.516293001999999923e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.215800000000000000e+04,1.171285482000000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.121700000000000000e+04,9.459265471000000147e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.579800000000000000e+04,2.229630454999999856e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.588200000000000000e+04,9.943605743999999191e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.111900000000000000e+04,1.509972383999999934e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.246800000000000000e+04,8.072912910999999525e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.616700000000000000e+04,1.599817102999999996e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.043300000000000000e+04,8.100146507999999912e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.899200000000000000e+04,1.326683635999999922e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.173900000000000000e+04,2.679452828000000064e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.135300000000000000e+04,5.668940740000000034e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.883700000000000000e+04,1.493862032999999911e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.982000000000000000e+04,2.983178009999999958e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.975200000000000000e+04,2.687000284000000150e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.723100000000000000e+04,2.287268891000000082e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.830900000000000000e+04,1.314413227999999911e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.595000000000000000e+04,1.363986522000000079e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.373100000000000000e+04,1.810247213999999971e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.308500000000000000e+04,1.948522247000000007e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.517400000000000000e+04,1.814159137000000044e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.243200000000000000e+04,2.000284384000000060e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.245600000000000000e+04,2.256069594999999950e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.104900000000000000e+04,2.961079189999999883e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.670000000000000000e+04,1.527010686999999933e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.218300000000000000e+04,2.260657597999999879e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.088400000000000000e+04,8.704926479999999245e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.988000000000000000e+04,8.420841298999999225e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.150700000000000000e+04,1.535083765999999983e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.561200000000000000e+04,2.258134584000000089e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.683800000000000000e+04,5.731603573000000118e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.812300000000000000e+04,2.052243789999999990e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.159900000000000000e+04,1.142567060999999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.871100000000000000e+04,1.603179752999999863e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.702000000000000000e+04,2.894740404999999939e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.127300000000000000e+04,1.216919882999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.258900000000000000e+04,3.602317439000000121e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.443800000000000000e+04,6.558319789999999649e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.573300000000000000e+04,1.064814815000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.634200000000000000e+04,1.181144624999999948e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.781000000000000000e+04,4.733423003000000406e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.256200000000000000e+04,2.233103630999999822e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.600200000000000000e+04,1.958119207000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.921600000000000000e+04,1.850164644999999908e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.135600000000000000e+04,7.093477606999999630e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.697600000000000000e+04,1.792502379000000090e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.725000000000000000e+04,1.214467740999999990e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.477900000000000000e+04,9.320429450000000671e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.546000000000000000e+04,9.969533347000000489e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.420700000000000000e+04,4.263307317999999668e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.001200000000000000e+04,2.788025022000000064e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.805700000000000000e+04,8.198866113999999428e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.731100000000000000e+04,2.685142422999999923e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.151600000000000000e+04,1.011663794000000038e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.974600000000000000e+04,1.558577406000000032e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
1.800700000000000000e+04,4.395500893999999903e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.953500000000000000e+04,4.310793022000000363e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.746000000000000000e+04,2.743921912000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.693300000000000000e+04,8.456978838999999581e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.803700000000000000e+04,4.021591862000000184e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.048200000000000000e+04,5.760304644999999724e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.165400000000000000e+04,1.024704945999999950e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.739500000000000000e+04,4.766515230999999631e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.735700000000000000e+04,1.494854484000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.531300000000000000e+04,4.860659792999999951e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.044300000000000000e+04,2.743964014000000162e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.201000000000000000e+04,7.491653960999999917e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.615100000000000000e+04,1.895821491999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.713100000000000000e+04,1.300399986999999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.217400000000000000e+04,1.931930132000000100e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.334500000000000000e+04,7.466176507000000129e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.081700000000000000e+04,5.586289640999999584e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.101500000000000000e+04,2.129845376999999829e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.243600000000000000e+04,2.861945284000000100e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.870500000000000000e+04,6.785621255999999768e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
9.313300000000000000e+04,2.913966258999999948e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.561000000000000000e+04,9.051559154999999635e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.086800000000000000e+04,1.875800946000000025e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.955400000000000000e+04,2.498189894000000066e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.963600000000000000e+04,7.085010307000000118e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.438400000000000000e+04,1.080774247000000088e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.025000000000000000e+04,1.099024894999999979e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.410500000000000000e+04,3.244926696999999649e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.932500000000000000e+04,8.844454841999999317e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.799300000000000000e+04,1.093131348000000003e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.686300000000000000e+04,1.234403572999999987e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.421800000000000000e+04,3.917946514999999863e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.785400000000000000e+04,1.168703934999999916e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.072000000000000000e+04,4.037933723000000086e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.705100000000000000e+04,2.030254679999999823e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.419600000000000000e+04,1.947993217000000143e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.404000000000000000e+04,1.962094417000000135e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.040500000000000000e+04,1.852240455999999824e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.900900000000000000e+04,2.189085445999999990e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.045800000000000000e+04,9.381887051999999727e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.319700000000000000e+04,6.416266814000000096e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.804900000000000000e+04,7.234124137000000232e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.969800000000000000e+04,1.858137277000000154e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.336100000000000000e+04,1.193224018999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.607000000000000000e+04,6.106830351000000157e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.556400000000000000e+04,4.456235840999999809e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.640300000000000000e+04,2.211287096999999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.919900000000000000e+04,6.727442178999999634e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.588100000000000000e+04,1.136187630999999953e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.280100000000000000e+04,1.604390765999999857e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.512500000000000000e+04,1.216068016999999912e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.592800000000000000e+04,2.894086715999999981e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.525100000000000000e+04,1.776371576000000019e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.223300000000000000e+04,2.104266598999999971e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.596800000000000000e+04,1.521552995000000053e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.244000000000000000e+04,5.555296150000000210e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.803400000000000000e+04,1.685611026999999851e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.237000000000000000e+04,1.526987618000000069e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.269000000000000000e+04,9.890384038000000544e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.806900000000000000e+04,3.140426094000000035e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.219100000000000000e+04,1.025131144000000027e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.708300000000000000e+04,1.616198804000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.232100000000000000e+04,1.478588234999999962e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.191500000000000000e+04,2.643030124999999941e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.969100000000000000e+04,2.537648504999999943e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.592800000000000000e+04,4.439224190000000014e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.504500000000000000e+04,7.547802282000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.705000000000000000e+04,1.438438732000000009e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.663000000000000000e+04,2.365823594000000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.220500000000000000e+04,2.716947435000000155e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.123200000000000000e+04,1.005247851000000026e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.041300000000000000e+04,1.969815205000000091e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.278400000000000000e+04,2.774380380000000201e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.137600000000000000e+04,2.016734841999999972e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.185700000000000000e+04,9.479353138000000456e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.307000000000000000e+04,1.926171053999999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.894000000000000000e+04,1.047736837000000065e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.436200000000000000e+04,1.560650955000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.922100000000000000e+04,1.471812163999999967e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
6.068000000000000000e+04,1.005321132999999989e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.720400000000000000e+04,1.609850433000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.988600000000000000e+04,1.489894433000000085e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.013300000000000000e+04,4.092162618999999779e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.700100000000000000e+04,1.987499361000000064e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.077800000000000000e+04,1.870819282000000072e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.498500000000000000e+04,1.095588766000000014e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
2.597200000000000000e+04,3.250615868999999947e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.024800000000000000e+04,2.409300371000000140e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
7.831700000000000000e+04,4.072759249999999831e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
5.848100000000000000e+04,1.450042524999999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.426100000000000000e+04,1.777612159999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.416900000000000000e+04,1.661213511000000054e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.227100000000000000e+04,1.894397668999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.806300000000000000e+04,1.554419365000000042e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
4.066300000000000000e+04,1.875725369999999970e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.158200000000000000e+04,6.625435790000000047e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
3.780000000000000000e+04,2.428689711000000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
8.518700000000000000e+04,2.079600042000000037e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.240353534085114173e-01
